Season,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamReadCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals
2003-2004,10/04/04,,Chelsea,Middlesbrough,0,0,D,0,0,D,M Halsey,19,9,9,5,6,2,10,8,1,1,0,0,1.364,4.5,8.5,1.85,1.95,,,,,,,,,,
2003-2004,10/04/04,,Leicester,Fulham,0,2,A,0,0,D,P Walton,10,9,7,4,15,4,13,15,2,0,0,0,2.3,3.25,3,2.05,1.75,,,,,,,,,,
2003-2004,10/04/04,,Man City,Wolves,3,3,D,2,2,D,J Winter,14,15,8,9,5,6,9,12,0,1,0,0,1.615,3.6,5.5,1.8,2,,,,,,,,,,
2003-2004,11/04/04,,Newcastle,Arsenal,0,0,D,0,0,D,P Durkin,9,11,5,5,5,4,14,12,0,1,0,0,3.2,3.25,2.2,1.85,1.95,,,,,,,,,,
2003-2004,12/04/04,,Aston Villa,Chelsea,3,2,H,1,1,D,J Winter,5,6,3,2,7,2,8,14,0,1,0,0,3.5,3.4,2,2,1.8,,,,,,,,,,
2003-2004,12/04/04,,Fulham,Blackburn,3,4,A,2,1,H,M Dean,10,11,7,7,6,1,12,14,0,0,0,0,2,3.25,3.75,1.9,1.9,,,,,,,,,,
2003-2004,12/04/04,,Liverpool,Charlton,0,1,A,0,0,D,P Dowd,25,6,16,3,7,4,12,17,1,0,0,0,1.615,3.5,6,1.9,1.9,,,,,,,,,,
2003-2004,12/04/04,,Middlesbrough,Southampton,3,1,H,2,0,H,D Gallagher,25,16,18,8,6,3,11,14,0,0,0,0,2.1,3.25,3.4,2,1.8,,,,,,,,,,
2003-2004,12/04/04,,Portsmouth,Birmingham,3,1,H,1,0,H,B Knight,12,6,6,2,4,4,19,11,1,2,0,1,2.375,3.25,2.875,2,1.8,,,,,,,,,,
2003-2004,12/04/04,,Tottenham,Man City,1,1,D,0,1,A,C Foy,15,9,10,8,4,3,10,21,1,1,0,0,2.2,3.25,3.2,1.9,1.9,,,,,,,,,,
2003-2004,12/04/04,,Wolves,Bolton,1,2,A,1,1,D,U Rennie,8,13,3,4,6,9,12,11,2,1,0,0,2.4,3.4,2.75,1.9,1.9,,,,,,,,,,
2003-2004,13/04/04,,Leeds,Everton,1,1,D,0,1,A,P Durkin,14,8,7,4,10,5,12,12,2,1,0,0,2.2,3.3,3.2,1.9,1.9,,,,,,,,,,
2003-2004,13/04/04,,Man United,Leicester,1,0,H,0,0,D,M Halsey,16,12,12,5,7,4,11,11,0,3,0,0,1.286,5,10,1.65,2.15,,,,,,,,,,
2003-2004,16/04/04,,Arsenal,Leeds,5,0,H,3,0,H,D Gallagher,15,7,8,2,3,8,10,10,0,0,0,0,1.333,5,8,1.66,2.15,,,,,,,,,,
2003-2004,17/04/04,,Blackburn,Leicester,1,0,H,1,0,H,R Styles,12,8,4,4,2,4,16,14,2,1,0,0,1.909,3.5,3.75,1.8,2,,,,,,,,,,
2003-2004,17/04/04,,Bolton,Tottenham,2,0,H,1,0,H,J Winter,15,4,10,0,11,5,18,21,1,2,0,0,2.25,3.2,3.1,1.95,1.85,,,,,,,,,,
2003-2004,17/04/04,,Charlton,Birmingham,1,1,D,0,0,D,C Foy,12,7,5,4,9,3,14,9,1,0,0,0,2.1,3.25,3.4,2,1.8,,,,,,,,,,
2003-2004,17/04/04,,Chelsea,Everton,0,0,D,0,0,D,G Poll,16,5,6,4,8,4,11,10,0,0,0,0,1.444,4,7.5,1.9,1.9,,,,,,,,,,
2003-2004,17/04/04,,Liverpool,Fulham,0,0,D,0,0,D,S Bennett,18,11,10,7,14,7,16,10,0,3,0,0,1.615,3.4,6,2,1.8,,,,,,,,,,
2003-2004,17/04/04,,Man City,Southampton,1,3,A,0,1,A,G Barber,15,9,7,5,6,3,11,9,1,1,0,0,1.909,3.3,4,1.9,1.9,,,,,,,,,,
2003-2004,17/04/04,,Portsmouth,Man United,1,0,H,1,0,H,N Barry,9,19,4,12,3,13,14,8,2,1,0,0,4.5,3.6,1.727,1.85,1.95,,,,,,,,,,
2003-2004,17/04/04,,Wolves,Middlesbrough,2,0,H,1,0,H,A D'Urso,12,16,8,10,6,8,10,10,1,2,0,0,2.75,3.4,2.375,1.95,1.85,,,,,,,,,,
2003-2004,18/04/04,,Aston Villa,Newcastle,0,0,D,0,0,D,B Knight,10,5,1,4,7,3,17,13,1,4,0,1,2.375,3.25,2.875,2.05,1.75,,,,,,,,,,
2003-2004,20/04/04,,Man United,Charlton,2,0,H,1,0,H,S Dunn,10,5,6,0,8,3,10,8,0,1,0,0,1.4,4.333,7.5,1.8,2,,,,,,,,,,
2003-2004,24/04/04,,Everton,Blackburn,0,1,A,0,0,D,P Dowd,16,10,9,7,8,5,8,22,0,4,0,0,2.2,3.25,3.2,1.95,1.85,,,,,,,,,,
2003-2004,24/04/04,,Fulham,Charlton,2,0,H,1,0,H,M Messias,8,8,6,3,4,7,15,13,1,1,0,0,2.25,3.3,3,1.95,1.85,,,,,,,,,,
2003-2004,24/04/04,,Leicester,Man City,1,1,D,0,1,A,A D'Urso,12,11,5,5,4,2,13,14,1,1,0,0,2.5,3.4,2.62,2,1.8,,,,,,,,,,
2003-2004,24/04/04,,Man United,Liverpool,0,1,A,0,0,D,M Riley,11,9,4,4,3,4,19,15,2,1,0,0,1.8,3.3,4.5,2,1.8,,,,,,,,,,
2003-2004,24/04/04,,Middlesbrough,Aston Villa,1,2,A,1,1,D,G Barber,31,12,21,9,12,8,12,15,0,1,0,1,2.3,3.25,3,2,1.8,,,,,,,,,,
2003-2004,24/04/04,,Southampton,Bolton,1,2,A,1,0,H,S Dunn,9,11,3,8,2,2,13,16,4,3,0,0,1.9,3.25,4,2,1.8,,,,,,,,,,
2003-2004,25/04/04,,Birmingham,Wolves,2,2,D,2,1,H,M Dean,14,11,9,7,9,2,11,13,1,0,0,0,1.61,3.6,5.5,1.85,1.95,,,,,,,,,,
2003-2004,25/04/04,,Leeds,Portsmouth,1,2,A,0,1,A,U Rennie,14,7,6,5,9,2,9,21,2,2,0,0,2.1,3.25,3.4,1.95,1.85,,,,,,,,,,
2003-2004,25/04/04,,Newcastle,Chelsea,2,1,H,1,1,D,R Styles,21,17,12,6,7,5,12,12,1,2,0,0,2.7,3.25,2.5,2,1.8,,,,,,,,,,
2003-2004,25/04/04,,Tottenham,Arsenal,2,2,D,0,2,A,M Halsey,13,9,7,7,7,4,14,15,1,1,0,0,5.5,3.4,1.66,1.85,1.95,,,,,,,,,,
2003-2004,01/05/04,,Arsenal,Birmingham,0,0,D,0,0,D,G Poll,7,3,1,3,2,3,13,16,0,2,0,0,1.36,4.33,9,1.8,2,,,,,,,,,,
2003-2004,01/05/04,,Blackburn,Man United,1,0,H,0,0,D,M Dean,12,9,8,5,5,4,11,10,2,1,0,0,3.75,3.5,1.9,1.85,1.95,,,,,,,,,,
2003-2004,01/05/04,,Charlton,Leicester,2,2,D,0,1,A,R Styles,8,10,7,5,5,4,15,7,1,0,0,1,1.8,3.4,4.33,1.9,1.9,,,,,,,,,,
2003-2004,01/05/04,,Chelsea,Southampton,4,0,H,0,0,D,P Durkin,12,5,7,3,12,3,6,5,0,0,0,0,1.53,3.6,6.5,1.85,1.95,,,,,,,,,,
2003-2004,01/05/04,,Man City,Newcastle,1,0,H,0,0,D,M Halsey,7,7,3,6,7,5,7,9,1,1,0,0,2.62,3.4,2.5,2,1.8,,,,,,,,,,
2003-2004,01/05/04,,Portsmouth,Fulham,1,1,D,0,0,D,S Dunn,14,11,7,7,10,3,14,13,1,4,0,0,2.2,3.25,3.2,1.95,1.85,,,,,,,,,,
2003-2004,01/05/04,,Wolves,Everton,2,1,H,0,1,A,M Riley,20,10,11,6,12,7,7,12,0,1,0,0,2.5,3.4,2.62,1.95,1.85,,,,,,,,,,
2003-2004,02/05/04,,Aston Villa,Tottenham,1,0,H,1,0,H,N Barry,11,10,6,5,5,5,15,20,2,1,0,0,1.66,3.6,5,2,1.8,,,,,,,,,,
2003-2004,02/05/04,,Bolton,Leeds,4,1,H,0,1,A,S Bennett,21,6,14,4,9,3,14,20,3,2,0,1,2.25,3.5,2.87,1.9,1.9,,,,,,,,,,
2003-2004,02/05/04,,Liverpool,Middlesbrough,2,0,H,0,0,D,A D'Urso,15,12,8,6,7,3,12,14,1,1,0,0,1.57,3.5,6.5,2,1.8,,,,,,,,,,
2003-2004,04/05/04,,Portsmouth,Arsenal,1,1,D,1,0,H,M Riley,11,20,6,9,5,12,13,10,0,2,0,0,4.5,3.3,1.8,1.95,1.85,,,,,,,,,,
2003-2004,08/05/04,,Birmingham,Liverpool,0,3,A,0,1,A,S Dunn,3,15,2,8,3,5,11,12,2,0,1,0,3.4,3.25,2.1,2,1.8,,,,,,,,,,
2003-2004,08/05/04,,Everton,Bolton,1,2,A,0,1,A,P Durkin,16,10,9,3,7,3,14,9,2,0,0,0,2.25,3.3,3,1.95,1.85,,,,,,,,,,
2003-2004,08/05/04,,Leeds,Charlton,3,3,D,2,1,H,M Halsey,13,12,7,6,3,2,12,9,0,0,0,0,2.6,3.25,2.6,1.95,1.85,,,,,,,,,,
2003-2004,08/05/04,,Leicester,Portsmouth,3,1,H,2,0,H,G Poll,13,14,9,7,8,3,11,15,0,2,0,0,2.4,3.4,2.75,2,1.8,,,,,,,,,,
2003-2004,08/05/04,,Man United,Chelsea,1,1,D,0,1,A,S Bennett,12,11,7,7,6,2,9,19,3,2,0,1,2.25,3.2,3.1,2,1.8,,,,,,,,,,
2003-2004,08/05/04,,Middlesbrough,Man City,2,1,H,2,1,H,M Riley,12,14,7,6,5,4,9,14,1,1,0,0,2.1,3.25,3.4,2,1.8,,,,,,,,,,
2003-2004,08/05/04,,Southampton,Aston Villa,1,1,D,1,1,D,H Webb,18,14,10,7,4,4,10,13,1,0,0,0,2.87,3.4,2.3,1.95,1.85,,,,,,,,,,
2003-2004,08/05/04,,Tottenham,Blackburn,1,0,H,1,0,H,A D'Urso,16,14,13,2,7,7,9,17,0,2,0,0,2.3,3.4,2.87,1.85,1.95,,,,,,,,,,
2003-2004,09/05/04,,Fulham,Arsenal,0,1,A,0,1,A,M Dean,12,7,5,5,6,7,13,19,1,3,0,0,3.25,3.4,2.1,2,1.8,,,,,,,,,,
2003-2004,09/05/04,,Newcastle,Wolves,1,1,D,1,0,H,M Messias,19,15,8,7,13,3,13,11,1,2,0,0,1.3,5,9,1.7,2.1,,,,,,,,,,
2003-2004,12/05/04,,Southampton,Newcastle,3,3,D,2,2,D,G Poll,15,22,12,12,3,5,13,16,1,2,0,0,2.87,3.6,2.2,,,,,,,,,,,,
2003-2004,15/05/04,,Arsenal,Leicester,2,1,H,0,1,A,P Durkin,17,2,10,1,7,5,15,13,0,1,0,0,1.25,5,13,1.7,2.1,,,,,,,,,,
2003-2004,15/05/04,,Aston Villa,Man United,0,2,A,0,2,A,R Styles,16,12,8,8,9,4,21,15,4,3,0,2,2.2,3.4,3,2,1.8,,,,,,,,,,
2003-2004,15/05/04,,Blackburn,Birmingham,1,1,D,1,0,H,D Gallagher,10,9,5,5,6,8,11,12,0,0,0,0,2.1,3.4,3.25,2,1.8,,,,,,,,,,
2003-2004,15/05/04,,Bolton,Fulham,0,2,A,0,1,A,G Barber,17,10,9,6,11,3,9,14,1,1,0,0,2,3.2,3.75,1.9,1.9,,,,,,,,,,
2003-2004,15/05/04,,Charlton,Southampton,2,1,H,1,0,H,J Winter,10,12,5,4,7,10,13,10,0,1,0,0,2,3.3,3.6,1.95,1.85,,,,,,,,,,
2003-2004,15/05/04,,Chelsea,Leeds,1,0,H,1,0,H,M Dean,19,4,9,0,9,2,5,9,0,0,0,0,1.33,4.5,9,1.75,2.05,,,,,,,,,,
2003-2004,15/05/04,,Liverpool,Newcastle,1,1,D,0,1,A,M Riley,8,6,4,5,8,1,11,17,1,1,0,0,2,3.3,3.6,2,1.8,,,,,,,,,,
2003-2004,15/05/04,,Man City,Everton,5,1,H,3,0,H,S Dunn,13,2,11,0,7,3,5,8,1,1,0,0,2.1,3.25,3.4,1.9,1.9,,,,,,,,,,
2003-2004,15/05/04,,Portsmouth,Middlesbrough,5,1,H,3,1,H,M Halsey,16,19,10,4,7,2,12,8,0,0,0,0,2.25,3.3,3,2,1.8,,,,,,,,,,
2003-2004,15/05/04,,Wolves,Tottenham,0,2,A,0,1,A,S Bennett,18,14,10,12,5,3,6,11,1,1,1,0,2.37,3.3,2.8,1.8,2,,,,,,,,,,
2004-2005,14/08/04,,Aston Villa,Southampton,2,0,H,2,0,H,U Rennie,14,6,5,2,12,6,14,9,0,0,0,0,1.9,3.1,4.33,2.05,1.75,,,,,,,,,,
2004-2005,14/08/04,,Blackburn,West Brom,1,1,D,0,1,A,C Foy,12,4,4,2,4,5,15,17,1,0,0,0,1.8,3.1,5,2,1.8,,,,,,,,,,
2004-2005,14/08/04,,Bolton,Charlton,4,1,H,2,0,H,P Dowd,21,9,11,5,9,5,10,12,1,1,0,0,2.25,3.2,3.1,2,1.8,,,,,,,,,,
2004-2005,14/08/04,,Man City,Fulham,1,1,D,1,0,H,M Messias,12,4,5,2,9,4,14,12,0,2,0,0,2.1,3.25,3.4,1.9,1.9,,,,,,,,,,
2004-2005,14/08/04,,Middlesbrough,Newcastle,2,2,D,0,1,A,S Bennett,15,11,8,4,6,7,16,13,3,1,0,0,2.3,3.25,3,2,1.8,,,,,,,,,,
2004-2005,14/08/04,,Norwich,Crystal Palace,1,1,D,1,0,H,P Walton,14,14,10,8,6,11,14,16,0,1,0,0,2.1,3.25,3.4,1.95,1.85,,,,,,,,,,
2004-2005,14/08/04,,Portsmouth,Birmingham,1,1,D,1,1,D,H Webb,14,16,8,11,8,4,13,16,2,4,0,0,2.4,3.2,2.87,2,1.8,,,,,,,,,,
2004-2005,14/08/04,,Tottenham,Liverpool,1,1,D,0,1,A,D Gallagher,14,16,7,8,3,8,17,11,3,1,0,0,3.1,3.2,2.25,1.9,1.9,,,,,,,,,,
2004-2005,15/08/04,,Chelsea,Man United,1,0,H,1,0,H,G Poll,8,11,5,3,2,3,17,8,0,0,0,0,2.1,3.25,3.4,1.95,1.85,,,,,,,,,,
2004-2005,15/08/04,,Everton,Arsenal,1,4,A,0,2,A,M Riley,9,18,5,14,0,7,14,19,2,1,0,0,6,3.4,1.61,1.9,1.9,,,,,,,,,,
2004-2005,21/08/04,,Birmingham,Chelsea,0,1,A,0,0,D,B Knight,9,7,3,3,8,2,10,16,0,0,0,0,4.5,3.2,1.83,1.95,1.85,,,,,,,,,,
2004-2005,21/08/04,,Charlton,Portsmouth,2,1,H,1,0,H,A Wiley,18,10,14,6,5,6,9,11,0,1,0,0,2,3.2,3.75,1.9,1.9,,,,,,,,,,
2004-2005,21/08/04,,Crystal Palace,Everton,1,3,A,1,1,D,M Clattenburg,15,14,9,7,6,6,6,18,1,1,0,1,2.3,3.25,3,1.95,1.85,,,,,,,,,,
2004-2005,21/08/04,,Fulham,Bolton,2,0,H,1,0,H,R Styles,23,10,12,4,8,4,11,13,0,0,0,0,2.25,3.2,3.1,1.9,1.9,,,,,,,,,,
2004-2005,21/08/04,,Liverpool,Man City,2,1,H,0,1,A,G Poll,15,7,10,4,8,3,9,17,1,3,0,1,1.57,3.5,6.5,1.85,1.95,,,,,,,,,,
2004-2005,21/08/04,,Man United,Norwich,2,1,H,1,0,H,N Barry,17,7,7,2,11,5,8,23,0,1,0,0,1.25,5,13,1.75,2.05,,,,,,,,,,
2004-2005,21/08/04,,Newcastle,Tottenham,0,1,A,0,0,D,M Dean,13,15,6,8,13,3,10,12,1,2,0,0,1.66,3.4,5.5,1.85,1.95,,,,,,,,,,
2004-2005,21/08/04,,Southampton,Blackburn,3,2,H,1,0,H,A D'Urso,13,10,7,6,3,6,12,18,0,3,0,0,2.3,3.25,3,2.05,1.75,,,,,,,,,,
2004-2005,22/08/04,,Arsenal,Middlesbrough,5,3,H,1,1,D,S Dunn,16,9,11,5,7,5,8,14,1,1,0,0,1.36,4.33,9,1.7,2.1,,,,,,,,,,
2004-2005,22/08/04,,West Brom,Aston Villa,1,1,D,1,1,D,M Halsey,14,9,5,4,12,4,12,20,2,2,0,0,2.87,3.2,2.4,2.05,1.75,,,,,,,,,,
2004-2005,24/08/04,,Birmingham,Man City,1,0,H,1,0,H,P Dowd,6,4,2,1,2,5,20,13,1,1,0,0,1.9,3.1,4.33,2.05,1.75,,,,,,,,,,
2004-2005,24/08/04,,Crystal Palace,Chelsea,0,2,A,0,1,A,C Foy,7,16,4,10,1,6,9,12,1,1,0,0,8.5,3.75,1.44,1.85,1.95,,,,,,,,,,
2004-2005,25/08/04,,Arsenal,Blackburn,3,0,H,0,0,D,N Barry,15,3,9,0,6,5,11,18,2,4,0,0,1.28,5,10,1.65,2.15,,,,,,,,,,
2004-2005,25/08/04,,Charlton,Aston Villa,3,0,H,2,0,H,H Webb,7,9,5,4,4,12,6,7,0,1,0,0,2.5,3.2,2.75,2,1.8,,,,,,,,,,
2004-2005,25/08/04,,Fulham,Middlesbrough,0,2,A,0,0,D,D Gallagher,6,10,2,5,1,6,10,8,0,1,0,0,2.5,3.2,2.75,1.95,1.85,,,,,,,,,,
2004-2005,25/08/04,,Newcastle,Norwich,2,2,D,1,0,H,M Halsey,23,13,15,5,12,6,17,10,0,1,0,0,1.44,4,7.5,1.8,2,,,,,,,,,,
2004-2005,25/08/04,,Southampton,Bolton,1,2,A,0,2,A,S Dunn,10,9,6,5,9,6,9,8,1,1,0,0,2.25,3.2,3.1,1.95,1.85,,,,,,,,,,
2004-2005,25/08/04,,West Brom,Tottenham,1,1,D,1,1,D,B Knight,4,12,2,6,4,5,13,10,0,0,0,0,2.75,3.2,2.5,2.05,1.75,,,,,,,,,,
2004-2005,28/08/04,,Aston Villa,Newcastle,4,2,H,1,2,A,M Riley,16,12,13,10,9,4,23,11,3,1,0,0,2.4,3.2,2.87,2,1.8,,,,,,,,,,
2004-2005,28/08/04,,Blackburn,Man United,1,1,D,1,0,H,A Wiley,8,24,4,15,4,14,25,17,3,1,1,0,5,3.4,1.72,1.9,1.9,,,,,,,,,,
2004-2005,28/08/04,,Chelsea,Southampton,2,1,H,2,1,H,S Bennett,16,6,7,2,9,0,11,12,0,4,0,0,1.28,5,10,1.75,2.05,,,,,,,,,,
2004-2005,28/08/04,,Everton,West Brom,2,1,H,1,1,D,P Walton,16,12,10,8,7,6,11,16,0,1,0,0,2,3.2,3.75,2.05,1.75,,,,,,,,,,
2004-2005,28/08/04,,Man City,Charlton,4,0,H,2,0,H,M Halsey,16,6,10,3,6,4,11,8,0,1,0,0,2.25,3.2,3.1,1.95,1.85,,,,,,,,,,
2004-2005,28/08/04,,Middlesbrough,Crystal Palace,2,1,H,0,0,D,M Dean,24,6,15,2,4,2,16,16,1,2,0,0,1.44,4,7.5,1.85,1.95,,,,,,,,,,
2004-2005,28/08/04,,Norwich,Arsenal,1,4,A,0,3,A,G Poll,5,18,5,15,4,10,15,5,1,1,0,0,9,4.33,1.36,1.65,2.2,,,,,,,,,,
2004-2005,28/08/04,,Tottenham,Birmingham,1,0,H,1,0,H,M Clattenburg,6,10,3,2,2,8,15,5,4,1,0,0,2,3.2,3.75,2,1.8,,,,,,,,,,
2004-2005,29/08/04,,Bolton,Liverpool,1,0,H,1,0,H,U Rennie,10,7,8,2,5,2,15,14,2,0,0,0,3.2,3.25,2.2,1.9,1.9,,,,,,,,,,
2004-2005,30/08/04,,Man United,Everton,0,0,D,0,0,D,D Gallagher,14,7,6,2,8,2,8,13,0,2,0,0,1.28,5,10,1.7,2.1,,,,,,,,,,
2004-2005,30/08/04,,Portsmouth,Fulham,4,3,H,3,2,H,B Knight,21,18,13,10,6,8,12,12,0,2,0,0,2.3,3.25,3,2,1.8,,,,,,,,,,
2004-2005,11/09/04,,Aston Villa,Chelsea,0,0,D,0,0,D,R Styles,11,18,5,10,2,9,9,12,0,1,0,0,4.333,3.1,1.909,2.1,1.7,,,,,,,,,,
2004-2005,11/09/04,,Bolton,Man United,2,2,D,0,1,A,M Messias,12,12,7,7,4,7,22,15,2,1,0,0,3.75,3.5,1.909,1.95,1.85,,,,,,,,,,
2004-2005,11/09/04,,Fulham,Arsenal,0,3,A,0,0,D,M Halsey,9,12,7,7,9,4,16,10,2,2,0,0,7,3.6,1.533,1.61,2.25,,,,,,,,,,
2004-2005,11/09/04,,Liverpool,West Brom,3,0,H,2,0,H,S Dunn,16,9,9,5,8,6,9,11,0,0,0,0,1.444,3.75,8.5,1.8,2,,,,,,,,,,
2004-2005,11/09/04,,Man City,Everton,0,1,A,0,0,D,S Bennett,13,6,4,5,9,6,14,9,1,3,0,1,1.909,3.1,4.333,1.85,1.95,,,,,,,,,,
2004-2005,11/09/04,,Middlesbrough,Birmingham,2,1,H,1,1,D,G Poll,14,5,6,3,6,3,16,19,2,3,0,0,1.909,3.1,4.333,2.05,1.75,,,,,,,,,,
2004-2005,11/09/04,,Newcastle,Blackburn,3,0,H,2,0,H,D Gallagher,7,5,4,1,8,5,10,19,2,1,0,0,1.667,3.4,5.5,1.75,2.05,,,,,,,,,,
2004-2005,11/09/04,,Portsmouth,Crystal Palace,3,1,H,1,1,D,P Dowd,16,6,7,3,8,7,14,21,0,2,0,0,1.8,3.5,4.333,1.85,1.95,,,,,,,,,,
2004-2005,12/09/04,,Tottenham,Norwich,0,0,D,0,0,D,H Webb,15,7,7,2,13,5,17,9,2,1,0,0,1.571,3.5,6.5,1.9,1.9,,,,,,,,,,
2004-2005,13/09/04,,Charlton,Southampton,0,0,D,0,0,D,N Barry,8,12,4,7,9,10,12,13,0,1,0,0,1.833,3.3,4.333,1.9,1.9,,,,,,,,,,
2004-2005,18/09/04,,Arsenal,Bolton,2,2,D,1,0,H,P Dowd,11,8,6,5,3,8,13,17,1,3,0,0,1.25,5,13,1.65,2.2,,,,,,,,,,
2004-2005,18/09/04,,Birmingham,Charlton,1,1,D,0,0,D,U Rennie,7,2,5,1,12,3,12,16,3,2,1,0,1.9,3.1,4.33,2.05,1.75,,,,,,,,,,
2004-2005,18/09/04,,Blackburn,Portsmouth,1,0,H,0,0,D,M Clattenburg,13,6,3,2,13,4,13,15,0,3,0,0,2.2,3.25,3.2,1.95,1.85,,,,,,,,,,
2004-2005,18/09/04,,Crystal Palace,Man City,1,2,A,0,0,D,M Atkinson,3,14,1,10,2,7,14,15,2,2,0,0,2.6,3.2,2.62,1.95,1.85,,,,,,,,,,
2004-2005,18/09/04,,Norwich,Aston Villa,0,0,D,0,0,D,B Knight,14,18,3,9,1,6,10,13,1,1,0,0,2.75,3.2,2.5,1.95,1.85,,,,,,,,,,
2004-2005,18/09/04,,West Brom,Fulham,1,1,D,0,0,D,M Dean,8,9,5,3,11,9,11,6,2,5,1,2,2.5,3.2,2.75,2.05,1.75,,,,,,,,,,
2004-2005,19/09/04,,Chelsea,Tottenham,0,0,D,0,0,D,M Riley,20,6,8,3,9,6,16,13,1,2,0,0,1.5,3.6,7.5,1.95,1.85,,,,,,,,,,
2004-2005,19/09/04,,Everton,Middlesbrough,1,0,H,0,0,D,H Webb,11,16,9,11,6,3,13,12,1,4,0,0,2.5,3.2,2.75,2,1.8,,,,,,,,,,
2004-2005,19/09/04,,Southampton,Newcastle,1,2,A,0,1,A,C Foy,11,9,6,3,7,6,15,11,0,3,0,0,2.87,3.25,2.37,2,1.8,,,,,,,,,,
2004-2005,20/09/04,,Man United,Liverpool,2,1,H,1,0,H,G Poll,14,6,9,3,7,2,22,15,1,2,0,0,2,3.2,3.75,2,1.8,,,,,,,,,,
2004-2005,25/09/04,,Aston Villa,Crystal Palace,1,1,D,1,1,D,M Clattenburg,10,13,5,8,5,8,10,15,2,1,0,0,1.5,3.6,7.5,1.9,1.9,,,,,,,,,,
2004-2005,25/09/04,,Bolton,Birmingham,1,1,D,1,0,H,R Styles,16,6,12,2,7,2,7,18,2,1,0,0,2,3.2,3.75,2.05,1.75,,,,,,,,,,
2004-2005,25/09/04,,Fulham,Southampton,1,0,H,1,0,H,G Poll,11,15,6,5,5,4,11,19,0,1,0,0,2,3.2,3.75,2.05,1.75,,,,,,,,,,
2004-2005,25/09/04,,Liverpool,Norwich,3,0,H,2,0,H,A Wiley,20,2,12,1,4,2,10,12,1,0,0,0,1.4,4,9,1.9,1.9,,,,,,,,,,
2004-2005,25/09/04,,Man City,Arsenal,0,1,A,0,1,A,N Barry,11,12,7,9,8,1,16,8,1,0,0,0,6.5,3.5,1.57,1.65,2.2,,,,,,,,,,
2004-2005,25/09/04,,Middlesbrough,Chelsea,0,1,A,0,0,D,M Halsey,8,17,4,12,3,7,10,15,0,1,0,0,3.5,3.2,2.1,2.1,1.7,,,,,,,,,,
2004-2005,25/09/04,,Newcastle,West Brom,3,1,H,0,0,D,M Riley,31,7,10,3,8,3,15,15,3,2,0,1,1.5,3.75,7,1.85,1.95,,,,,,,,,,
2004-2005,25/09/04,,Tottenham,Man United,0,1,A,0,1,A,P Walton,11,6,5,4,3,3,9,10,1,0,0,0,3.4,3.25,2.1,1.95,1.85,,,,,,,,,,
2004-2005,26/09/04,,Portsmouth,Everton,0,1,A,0,0,D,D Gallagher,11,9,6,2,3,6,12,16,1,1,0,0,2.25,3.2,3.1,1.95,1.85,,,,,,,,,,
2004-2005,27/09/04,,Charlton,Blackburn,1,0,H,0,0,D,S Dunn,6,12,3,7,6,10,18,14,1,1,0,0,2.1,3.25,3.4,2,1.8,,,,,,,,,,
2004-2005,02/10/04,,Arsenal,Charlton,4,0,H,1,0,H,M Dean,15,4,9,0,6,1,13,15,3,1,0,0,1.28,5,10,1.7,2.1,,,,,,,,,,
2004-2005,02/10/04,,Blackburn,Aston Villa,2,2,D,1,1,D,P Walton,13,15,7,9,5,8,14,17,2,2,0,0,2.37,3.25,2.87,2.1,1.7,,,,,,,,,,
2004-2005,02/10/04,,Everton,Tottenham,0,1,A,0,0,D,G Poll,10,8,4,2,11,2,9,13,1,2,0,0,2.25,3.2,3.1,2.15,1.66,,,,,,,,,,
2004-2005,02/10/04,,Norwich,Portsmouth,2,2,D,0,1,A,M Messias,17,13,9,5,8,2,13,7,1,4,0,0,2.37,3.25,2.87,2.05,1.75,,,,,,,,,,
2004-2005,02/10/04,,Southampton,Man City,0,0,D,0,0,D,U Rennie,16,21,11,11,6,14,13,11,0,0,0,0,2.37,3.25,2.87,2.05,1.75,,,,,,,,,,
2004-2005,02/10/04,,West Brom,Bolton,2,1,H,0,0,D,M Clattenburg,13,16,7,7,6,5,18,15,0,0,0,0,2.75,3.2,2.5,2,1.8,,,,,,,,,,
2004-2005,03/10/04,,Birmingham,Newcastle,2,2,D,1,1,D,H Webb,10,6,6,3,6,5,17,14,3,2,0,0,2.62,3.2,2.6,2.05,1.75,,,,,,,,,,
2004-2005,03/10/04,,Chelsea,Liverpool,1,0,H,0,0,D,P Dowd,13,5,5,3,11,2,14,20,0,1,0,0,1.8,3.1,5,2.1,1.7,,,,,,,,,,
